#     ee        rad       apc      skyin    skyout
    0.1000    0.4310   10.0175    6.0820    9.4960
    0.2000    0.6390    5.0096    6.0820    9.4960
    0.3000    0.8260    3.3405    6.0820    9.4960
    0.4000    1.0650    2.5067    6.0820    9.4960
    0.5000    1.3600    2.0070    6.0820    9.4960
    0.6000    2.4760    1.6828    6.0820    9.4960
    0.7000    3.1990    1.4485    6.0820    9.4960
    0.8000    6.0820    1.3068    6.0820    9.4960
    0.8500    9.4960    1.3068    6.0820    9.4960
    0.9000   14.4090    1.4188    6.0820    9.4960
