u,g,r,i,z
9.61,15.6025,1.8225,7.84,0.81
12.6025,1.44,1.0,6.25,1.0
8.7025,1.3225,1.3225,4.6225,1.0
12.6025,1.96,1.3225,7.5625,12.6025
9.3025,1.1025,0.81,7.84,2.1025
7.0225,1.8225,0.9025,5.0625,1.21
