#     ee        rad       apc      skyin    skyout
    0.1000    0.3430   10.0329    3.0860    5.2390
    0.2000    0.5040    5.0178    3.0860    5.2390
    0.3000    0.6500    3.3465    3.0860    5.2390
    0.4000    0.7950    2.5111    3.0860    5.2390
    0.5000    0.9750    2.0107    3.0860    5.2390
    0.6000    1.2420    1.6787    3.0860    5.2390
    0.7000    2.3110    1.4596    3.0860    5.2390
    0.8000    3.0860    1.2929    3.0860    5.2390
    0.8500    5.2390    1.2929    3.0860    5.2390
    0.9000    9.1380    1.4991    3.0860    5.2390
